block,method,num_agents,obs_radius,seed,isr,csr,makespan
main,A* Only,16,5,90056,1.0,1.0,82
main,A* Only,16,5,90057,1.0,1.0,67
main,A* Only,16,5,90058,1.0,1.0,74
main,A* Only,16,5,90059,1.0,1.0,103
main,A* Only,16,5,90060,1.0,1.0,37
main,A* Only,16,5,90061,0.875,0.0,
main,A* Only,16,5,90062,0.875,0.0,
main,A* Only,16,5,90063,1.0,1.0,227
main,A* Only,16,5,90064,1.0,1.0,124
main,A* Only,16,5,90065,0.75,0.0,
main,A* Only,16,5,90066,1.0,1.0,114
main,A* Only,16,5,90067,0.8125,0.0,
main,A* Only,16,5,90068,1.0,1.0,93
main,A* Only,16,5,90069,1.0,1.0,98
main,A* Only,16,5,90070,0.875,0.0,
main,A* Only,16,5,90071,0.875,0.0,
main,A* Only,16,5,90072,1.0,1.0,69
main,A* Only,16,5,90073,1.0,1.0,111
main,A* Only,16,5,90074,1.0,1.0,111
main,A* Only,16,5,90075,0.75,0.0,
main,A* Only,16,5,90076,1.0,1.0,106
main,A* Only,16,5,90077,0.875,0.0,
main,A* Only,16,5,90078,0.875,0.0,
main,A* Only,16,5,90079,1.0,1.0,91
main,A* Only,16,5,90080,1.0,1.0,57
main,A* Only,16,5,90081,1.0,1.0,165
main,A* Only,16,5,90082,0.875,0.0,
main,A* Only,16,5,90083,1.0,1.0,70
main,A* Only,16,5,90084,1.0,1.0,79
main,A* Only,16,5,90085,0.75,0.0,
main,A* Only,16,5,90086,1.0,1.0,95
main,A* Only,16,5,90087,1.0,1.0,141
main,A* Only,16,5,90088,1.0,1.0,54
main,A* Only,16,5,90089,1.0,1.0,99
main,A* Only,16,5,90090,0.875,0.0,
main,A* Only,16,5,90091,1.0,1.0,124
main,A* Only,16,5,90092,1.0,1.0,39
main,A* Only,16,5,90093,0.875,0.0,
main,A* Only,16,5,90094,1.0,1.0,82
main,A* Only,16,5,90095,1.0,1.0,67
main,A* Only,16,5,90096,0.875,0.0,
main,A* Only,16,5,90097,0.875,0.0,
